
 Energy levels

    N    J prty N_Jp    T     E(MeV)  Ex(MeV)  log-file

    1     6 +     1     2   -114.792    0.000  log_V50_gxpf1a_m0p.txt 
    2     5 +     1     2   -114.616    0.176  log_V50_gxpf1a_m0p.txt 
    3     4 +     1     2   -114.610    0.182  log_V50_gxpf1a_m0p.txt 
    4     3 +     1     2   -114.571    0.221  log_V50_gxpf1a_m0p.txt 
    5     2 +     1     2   -114.552    0.240  log_V50_gxpf1a_m0p.txt 
    6     5 +     2     2   -114.044    0.748  log_V50_gxpf1a_m0p.txt 
    7     4 +     2     2   -113.972    0.820  log_V50_gxpf1a_m0p.txt 
    8     7 +     1     2   -113.898    0.894  log_V50_gxpf1a_m0p.txt 
    9     2 +     2     2   -113.762    1.030  log_V50_gxpf1a_m0p.txt 
   10     3 +     2     2   -113.602    1.190  log_V50_gxpf1a_m0p.txt 

B(E2)  ( > -0.0 W.u.)  mass = 50    1 W.u. = 10.9 e^2 fm^4
e^2 fm^4 (W.u.)
J_i  pi_i idx_i Ex_i    J_f  pi_f idx_f Ex_f      dE         B(E2)->         B(E2)->[wu]     B(E2)<-         B(E2)<-[wu]
5    +    1     0.176   6    +    1     0.000     0.176    157.00756342     14.34860281    132.85255367     12.14112545
4    +    1     0.182   6    +    1     0.000     0.182     44.80931971      4.09503285     31.02183672      2.83502275
4    +    1     0.182   5    +    1     0.176     0.006      3.05762417      0.27943007      2.50169250      0.22862460
3    +    1     0.221   5    +    1     0.176     0.045     34.97631988      3.19641494     22.25765811      2.03408224
3    +    1     0.221   4    +    1     0.182     0.039    140.33235811     12.82468961    109.14738964      9.97475859
2    +    1     0.240   4    +    1     0.182     0.058     60.93872247      5.56906626     33.85484582      3.09392570
2    +    1     0.240   3    +    1     0.221     0.019    217.07230253     19.83779751    155.05164467     14.16985536
5    +    2     0.748   6    +    1     0.000     0.748     14.26294720      1.30346182     12.06864763      1.10292923
5    +    2     0.748   5    +    1     0.176     0.573      4.74933513      0.43403211      4.74933513      0.43403211
5    +    2     0.748   4    +    1     0.182     0.566     93.12551969      8.51055239    113.82007962     10.40178625
5    +    2     0.748   3    +    1     0.221     0.527     37.91599806      3.46506617     59.58228267      5.44510398
4    +    2     0.820   6    +    1     0.000     0.820     33.31201207      3.04431723     23.06216220      2.10760423
4    +    2     0.820   5    +    1     0.176     0.644      4.41164547      0.40317133      3.60952811      0.32986745
4    +    2     0.820   4    +    1     0.182     0.638     10.00012143      0.91389082     10.00012143      0.91389082
4    +    2     0.820   3    +    1     0.221     0.599     17.08389685      1.56126269     21.96501023      2.00733774
4    +    2     0.820   2    +    1     0.240     0.579     13.10315308      1.19747059     23.58567554      2.15544706
4    +    2     0.820   5    +    2     0.748     0.071      6.53265378      0.59700598      5.34489854      0.48845944
7    +    1     0.894   6    +    1     0.000     0.894    110.77620582     10.12361280    127.81869903     11.68109169
7    +    1     0.894   5    +    1     0.176     0.719      8.14824869      0.74465192     11.11124821      1.01543444
7    +    1     0.894   5    +    2     0.748     0.146     29.55086639      2.70059375     40.29663598      3.68262784
2    +    2     1.030   4    +    1     0.182     0.848     16.35964459      1.49507474      9.08869144      0.83059708
2    +    2     1.030   3    +    1     0.221     0.809      4.80280202      0.43891834      3.43057287      0.31351310
2    +    2     1.030   2    +    1     0.240     0.790     20.54034532      1.87714050     20.54034532      1.87714050
2    +    2     1.030   4    +    2     0.820     0.211     27.24782371      2.49012335     15.13767984      1.38340186
3    +    2     1.190   5    +    1     0.176     1.014      0.85838676      0.07844623      0.54624612      0.04992033
3    +    2     1.190   4    +    1     0.182     1.008      0.58540334      0.05349882      0.45531371      0.04161020
3    +    2     1.190   3    +    1     0.221     0.969      0.01060185      0.00096888      0.01060185      0.00096888
3    +    2     1.190   2    +    1     0.240     0.950      3.20327805      0.29274108      4.48458927      0.40983752
3    +    2     1.190   5    +    2     0.748     0.442      0.43432918      0.03969246      0.27639130      0.02525884
3    +    2     1.190   4    +    2     0.820     0.371      0.81584313      0.07455825      0.63454466      0.05798975
3    +    2     1.190   2    +    2     1.030     0.160    121.44388552     11.09851041    170.02143973     15.53791457

B(M1)  ( > -0.0 W.u.)  mass = 50    1 W.u. = 1.8 mu_N^2  
mu_N^2   (W.u.)
J_i  pi_i idx_i Ex_i    J_f  pi_f idx_f Ex_f      dE         B(M1)->         B(M1)->[wu]     B(M1)<-         B(M1)<-[wu]
5    +    1     0.176   6    +    1     0.000     0.176      0.97857510      0.54653944      0.82802509      0.46245645
4    +    1     0.182   5    +    1     0.176     0.006      0.39502620      0.22062425      0.32320325      0.18051075
3    +    1     0.221   4    +    1     0.182     0.039      3.26248403      1.82211482      2.53748758      1.41720042
2    +    1     0.240   3    +    1     0.221     0.019      3.15974190      1.76473279      2.25695850      1.26052342
5    +    2     0.748   6    +    1     0.000     0.748      0.68999849      0.38536786      0.58384488      0.32608050
5    +    2     0.748   5    +    1     0.176     0.573      0.06881867      0.03843560      0.06881867      0.03843560
5    +    2     0.748   4    +    1     0.182     0.566      1.87586660      1.04768155      2.29272585      1.28049968
4    +    2     0.820   5    +    1     0.176     0.644      1.29605995      0.72385643      1.06041268      0.59224617
4    +    2     0.820   4    +    1     0.182     0.638      0.09167039      0.05119840      0.09167039      0.05119840
4    +    2     0.820   3    +    1     0.221     0.599      0.00000902      0.00000504      0.00001160      0.00000648
4    +    2     0.820   5    +    2     0.748     0.071      0.01404378      0.00784353      0.01149037      0.00641743
7    +    1     0.894   6    +    1     0.000     0.894      0.81478302      0.45506068      0.94013425      0.52507002
2    +    2     1.030   3    +    1     0.221     0.809      0.50223979      0.28050362      0.35874271      0.20035973
2    +    2     1.030   2    +    1     0.240     0.790      0.06948526      0.03880789      0.06948526      0.03880789
3    +    2     1.190   4    +    1     0.182     1.008      0.08255017      0.04610471      0.06420569      0.03585922
3    +    2     1.190   3    +    1     0.221     0.969      0.00930891      0.00519908      0.00930891      0.00519908
3    +    2     1.190   2    +    1     0.240     0.950      0.02967102      0.01657142      0.04153943      0.02319999
3    +    2     1.190   4    +    2     0.820     0.371      0.00418853      0.00233932      0.00325774      0.00181947
3    +    2     1.190   2    +    2     1.030     0.160      0.04135695      0.02309808      0.05789973      0.03233731

B(E1)  ( > -0.0 W.u.)  mass = 50    1 W.u. = 0.9 e^2 fm^2
e^2 fm^2 (W.u.)
J_i  pi_i idx_i Ex_i    J_f  pi_f idx_f Ex_f      dE         B(E1)->         B(E1)->[wu]     B(E1)<-         B(E1)<-[wu]

